Title,Abstract,Keywords,itr,Label
prediction mechanical penetrability properties cement stabilized clay exposed sulfate attack use soft computing methods,similar effects type cementitious composite known fact sulfate attack negative influence engineering behavior cement stabilized soils level degradation engineering properties cement stabilized soils needs scientific attention light database including total unconfined compression chloride ion penetration tests cement stabilized kaolin specimens exposed sulfate attack constituted data include information cement type sulfate resistant sr normal portland pozzolanic content sulfate type sodium magnesium sulfate concentration curing period days using database linear nonlinear regression analysis ra backpropagation neural networks adaptive neuro fuzzy inference techniques employed question methods capable predicting unconfined compressive strength chloride ion penetration cement stabilized clay exposed sulfate attack results revealed methods great potential modeling strength penetrability properties cement stabilized clays exposed sulfate attack performance regression method acceptable level results adaptive neuro fuzzy inference systems backpropagation neural networks superior modeling,cement stabilized soil strength penetrability bpnn anfis soft computing,211,36
ranking method based interval type fuzzy sets multiple attribute group decision making,ranking fuzzy numbers important research direction decision making problems role best objects uncertainty paper propose new approach perform multiple attribute group decision making magdm problems using ranking interval type fuzzy sets initially new ranking method interval type fuzzy numbers based centroid rank index proposed present comparative study analyze ranking values proposed method existing approaches explore necessity proposed ranking method new magdm approach developed using proposed ranking procedure solve uncertain magdm problems finally applicability proposed approach illustrated using numerical examples case study related car sharing problems proposed study exhibits useful way solve fuzzy magdm problems efficient manner applies interval type fuzzy sets compared type fuzzy sets signify evaluating values weights attributes,multi attribute group decision making interval type fuzzy set ranking method centroid point,155,28
new method prediction air pollution based intelligent computation,detection treatment increasing air pollution technological developments represent important challenges facing world today significant increase levels environmental pollution recent years aim work presented design intelligent predictor concentrations air pollutants days based deep learning techniques using recurrent neural network rnn best structure operation determined using particle swarm optimization pso algorithm new predictor based intelligent computation relying unsupervised learning long short term memory lstm optimization pso called smart air quality prediction model saqpm main goal predict concentrations types air pollution viz pm particulate matter pm particulate matter nitrogen dioxide carbon monoxide ozone sulfur dioxide saqpm consists stages stage involves data collection multiple stations case second stage involves preprocessing data including separation station independent focus handle missing values normalization dataset range using minmaxscalar method stage relates building predictor based lstm method identifying best structure parameter values weight bias number hidden layers number nodes hidden layer activation function network using functional pso algorithm achieve goal dataset split training testing parts based cross validation principle training dataset used build predictor fourth stage evaluation results station obtained reading concentration pollutant hour days taking average symmetric mean absolute percentage error smape days,air pollutants big data prediction analytical solution long short term memory particle swarm algorithm intelligent computation,155,28
surface modification epoxy resin amphiphilic fluoroorganosiloxane copolymers,amphiphilic fluoroorganosiloxane copolymer designed surface modification epoxy resin fluorine containing fragments synthesized copolymer contains anchor units terminal amino groups forming chemical bonds epoxy matrix composition surface layers function content copolymer modifier studied xps method presence anchor units affects degree segregation concentration profile fluorocontaining groups depth,surface modification fluoroorganosiloxane copolymers ray photoelectron spectroscopy,1744,289
response coralline algae,coralline algae ca type primary calcifying producer presented coastal ecosystems considered highly sensitive organisms marine environmental change experimental studies coralline algae responses elevated seawater temperature reduced ph documented contradictory opposite results study analysed growth physiological responses coralline algae porolithon onkodes elevated temperature reduced ph aim analysis observe direct combined effects elucidating growth photosynthesis response demonstrated algae thallus growth rate photosynthesis elevated temperature depressed respectively high enhanced growth photosynthesis thallus ambient temperature deceased temperature elevated ca sensitive organisms ocean acidification oa precipitate high mg calcite hypothesize coralline algae increase calcification rate order counteract effects moderate acidification offset effect elevated temperature accordingly results support conclusion global warming gw stronger threat algal performance oa findings proposed coralline algae resilient oa gw,crustose coralline algae response elevated temperature reduced ph effects,1201,198
flame photometric potentiometric methods measuring sodium concentration blood,human blood studied using parameters sodium concentration flamephotometric potentiometric methods suitable determining sodium concentration plasma serum blood considered overview indicated methods results comparison tests methods presented,flame photometric potentiometric measurement methods concentration sodium blood,1725,286
ubr contributes colorectal cancer progression destabilizing tumor suppressor ecrg,background ligase ubr aberrantly expressed diverse types cancer expression pattern biological function colorectal cancer crc remain unclear methods used rt pcr western blot immunohistochemistry measure ubr expression crc tissues corresponding non tumor tissues expression pattern ubr crc tissues determined scoring immunohistochemical analysis mrna level rt pcr statistical analyses applied evaluate associations ubr expression survival rate patients ubr gene overexpressed silenced lentiviral vectors crc cells cell proliferation apoptosis measured using cck assay flow cytometry results ubr abundantly overexpressed crc tissues adjacent non cancerous tissues high ubr level positively correlated progression poor survival crc patients addition multivariate analysis indicated ubr tnm stage independent prognostic factors overall survival patients crc furthermore demonstrated expression ubr significantly elevated crc cell lines overexpression ubr enhanced vitro cell proliferation promoted vivo tumor growth silencing ubr suppressed growth crc cells findings ubr promotes crc cell proliferation inducing cell cycle progression suppressing cell apoptosis finally ubr directly binds tumor suppressor esophageal cancer related gene ecrg increased ubiquitination reduce protein stability ecrg conclusions identified tumorigenic role ubr crc provided novel therapeutic target crc patients,ubr colorectal cancer proliferation apoptosis ecrg,2047,348
foot shape plantar pressure relationships shod barefoot populations,study presents population based multivariate regression models predicting foot plantar pressure easily measured foot metrics shod barefoot populations running walking tasks shod barefoot models trained participants predicted plantar pressure anthropometric measurements using leave validation values walking running populations model blindly tested new data sets model performed values populations walking running peak plantar pressure predicted similar levels accuracy populations revealed forefoot plantar pressure sensitive hallux toe distance barefoot people shod participants showing little response foot characteristic lateral forefoot plantar pressure sensitive arch index shod barefoot participants walking running arch index useful determinant lateral forefoot pressure habitually barefoot people adopt minimalist footwear consider additional support medial forefoot walking footwear include forefoot support stratified arch index foot type running footwear challenging variability strike patterns,shod barefoot hallux angle toe distance peak pressure walking running,1271,211
fiber orientation distribution tensile mechanical response uhpfrc,study crucial effect fiber orientation distribution tensile mechanical response ultra high performance fiber reinforced concretes uhpfrc discussed direct tension test method used characterize tensile response uhpfrc material assess actual tensile response principal directions real scale uhpfrc structural element actual fiber orientation distribution evaluated representative sections image analysis technique experimental results validated anisotropy fiber orientation distribution consequently tensile mechanical properties consequence casting process flow pattern concept fiber orientation factor discussed approaches currently adopted implement robust reliable safety factors accounting fiber orientation distribution impact design methodologies uhpfrc finally need comprehensive design framework uhpfrc structures highlighted order allow fully exploitation material properties,fiber orientation orientation factor tensile response direct tension test image analysis uhpfrc,1438,232
biologic mesh repair ventral hernias contaminated fields long term clinical patient reported outcomes,background guidelines recommend biologic prosthetics ventral hernia repair vhr contaminated fields long term patient reported data limited aimed determine long term rate hernia recurrence clinical patient reported outcomes following use porcine small intestine submucosa psis vhr contaminated field methods consecutive patients undergoing open vhr psis mesh contaminated field prospectively evaluated hernia recurrence post operative complications multivariate logistic cox regression analyses identified predictors hernia recurrence surgical site infection patient reported outcomes evaluated using sf hernia related quality life survey herqles body image questionnaire instruments results hernias repaired clean contaminated contaminated dirty fields median follow months interquartile range patients greater month follow sixteen patients examined incidence surgical site events surgical site infection respectively american society anesthesiologists score greater independent predictor surgical site infection odds ratio confidence interval hernia recurrence occurred median time diagnosis months interquartile range bridged repair patients recurred compared fascia approximated bridged repair independent predictor recurrence odds ratio confidence interval patients recurrences significantly worse scores sf mental health component self perceived body image herqles scores similar conclusions hernia recurrences wound infections high use biologic psis mesh contaminated surgical fields careful consideration warranted using approach,biologics hernia recurrence surgical site infection surgisis,1335,218
role stitch yarn delamination resistance non crimp fabric chemical physical interpretation,preform plane reinforcement effective decelerating suppressing delamination process non crimp fabric connect neighboring laminae effectively interlaminar strength stitched laminae supposed behave way regular unidirectional composite order determine stitched yarns contribute interlaminar fracture toughness study determinated delamination resistance quasi isotropic laminate analysis based interlaminar fracture toughness ic propagation energy curve tests conducted mode opening double cantilever beam specimen geometry results fracture toughness strain energy propagation compared fracture surface decrease propagation energy prevailed surface stitch yarn replaced carbon fiber epoxy interface better chemical affinities covalent bonds,composites failure analysis mechanical organic matrix static thermal analysis,382,68
effect temperature,paper strain band edge energy levels pyramidal hbox hbox ga hbox hbox gaas quantum dots investigated band effective mass approach shown temperature remarkable effect strain tensor band gap lowers radiation wavelength elongates increasing temperature band gap energy linearly decrease temperature rise results appear agree researches used designing laser devices sensors applied different working temperatures furthermore device works long time self heating occurs changes characteristics output,quantum dot strain tensor band edge nanoelectronics temperature effect cb xx,734,131
authentication scheme based smart card multi server environment,authentication schemes based smart card multi server environment common problem parameters stored user smart card linearly increase number registered servers involving registration center helping authentication process order save storage cost raise efficiency authentication scheme based smart card proposed multi server environment proposed scheme user needs time registration password realize authentication different servers involving registration center helping authentication process server unnecessary store users information achieve authentication users server security proposed scheme proved burrows abadi needham logic security analysis performance analysis proposed scheme secured various known attacks lower communication cost computation cost storage cost compared related schemes,multi server authentication smart card,257,46
improved algorithm sentiment analysis based maximum entropy,sentiment analysis important field study natural language processing massive data irregular data sentiment classification high accuracy major challenge sentiment analysis address problem novel maximum entropy plsa model proposed model use probabilistic latent semantic analysis extract seed emotion words wikipedia training corpus features extracted seed emotion words input maximum entropy model training maximum entropy model test set processed similarly maximum entropy model emotional classification training set test set divided fold method maximum entropy classification based probabilistic latent semantic analysis uses important emotional classification features classify words relevance words parts speech context relevance degree adverbs similarity benchmark emotional words experiments prove classification method proposed paper outperforms compared methods,semantic analysis maximum entropy probabilistic latent semantic analysis,155,28
mrs technique spectroscopic imaging lcmodel based adolescent obese metabolic syndrome research,hydrogen proton magnetic resonance spectroscopy mrs widely used auxiliary diagnosis clinical diseases previous study hippocampal metabolites relative ratio magnetic resonance spectroscopic data common area blow crest crest height used semi quantitative relative quantitative analysis convenient observe change trend method accurately reflect specific changes various metabolites concentrations certain limitation based linear combination model spectra lcmodel processing technology paper introduced spectroscopic imaging technology analysis procedures absolute concentration brain metabolites quantitatively detected hippocampus adolescent obese metabolic syndrome results levels naa cho mi bilateral hippocampuses adolescent metabolic syndrome significantly decreased especially right hippocampus application lcmodel software brought great convenience realize absolute quantification metabolites vivo,mrs technology lcmodel software quantitative analysis metabolite concentrations,383,69
numerical investigation grouting mechanism slurry rock coupling shear displacement single rough fracture,slurry diffusion model single random roughness fissure established consider slurry geological fracture coupling based navier stokes equation slurry flow characteristics coupling response rough fracture investigated influencing mechanism roughness slurry flow revealed calculation model effective aperture determined rough fracture shear displacement effects slurry flow studied results slurry diffusion model accurately reflect grouting rougher fracture great effect flow larger low speed domains pressure gradient maximum diffusion velocity increase parabolically changes relative roughness conventional flat panel model cause increasing deviation rate determination grouting parameters coupling degree distribution temporal spatial variations increases time dependent viscosity roughness decreasing effective aperture shortening path viscosity key controlling factor grouting pressure roughness response shear displacement significant revealing site grout splitting occurs narrow undulating tip high viscosity shear rough flow surface rough fracture model considering fluid solid coupling consistent grouting phenomenon engineering roughness shear key geological factors grout splitting,grouting flow rough fracture coupling response shear displacement damage splitting,1366,224
grazers respond control food quality cross scale analysis algivorous fish littoral lake tanganyika,food quality determines growth rate primary consumers ecosystem trophic efficiencies clear variation primary consumer densities control controlled variation food quality quantified variation density condition abundant algae eating cichlid tropheus brichardi respect quality productivity algal biofilms rocky coastal sites lake tanganyika east africa adjacent land use sediment deposition littoral zone varied widely sites tropheus brichardi maximized caloric phosphorus intake local scale aggregating shallow habitats algivore density decreased depth tracking attached algae productivity retr max remarkably contrast algivore density unrelated site variation algal productivity significant increase algal quality decrease algal biomass brichardi density sites consistent strong control primary producers inorganic sediment rock surfaces strongest predictor site variation algivore density algivore gut length increased sedimentation patterns indicate extrinsic forcing algal food quality quantity coastal landscapes combined adaptive habitat selection fish local scale factors degrade food quality decreasing algal nutrient content diluting resource indigestible material likely depress grazer densities potentially dampening control high light low nutrient aquatic ecosystems,algivore microphytobenthos periphyton food quality productivity tropheus littoral sediment,2050,349
double compressed jpeg images steganalysis transferring feature,steganalysis technology detecting presence secret messages digital media recently algorithms proposed achieved satisfactory detection accuracy performance algorithms reduced double compression mismatch training testing sets address problem proposed transferring feature double compressed jpeg images tfd improve detection accuracy specifically algorithm consists parts detect double compression testing images constructing multi classifier markov feature transfer steganalysis feature new feature space order reduce difference feature distributions training testing sets intend obtain transformation matrix adjusting expectation standard deviation training set minimizing feature discrepancy sets keeping classification ability training set simultaneously experimental results proposed algorithm better performance double compressed mismatched steganalysis,jpeg mismatched steganalysis double compression feature transform,383,69
articles medical informatics bibliometric analysis,number citations research paper receives used measure scientific impact objective study identify examine characteristics cited articles field medical informatics based data acquired thomson reuters web science wos october data collected using procedures included articles published journals listed medical informatics category second retrieved articles using key words informatics medical informatics bi omedical informatics clinical informatics health informatics removing duplicate records articles ranked number citations received cited articles identified collected following information record wos database citations year publication journal author authors affiliation country origin topics indexed record citations articles ranged citations year ranged majority articles published articles published journals commonly statistics medicine medical decision making articles average authors statistics biostatistics modeling common topic followed artificial intelligence medical errors topics included data mining diagnosis bioinformatics information retrieval medical imaging bibliometric analysis illustrated historical perspective progress scientific research medical informatics findings current study provide insight frequency citations cited articles published medical informatics quality works journals trends steering medical informatics,medical informatics articles bibliometric cited,957,166
non darcian seepage flow field deeply buried tunnel excavation,tunnel excavated water bearing rock mass groundwater flow tunnel cause adverse effects non darcian hydraulic characteristics fractured rock masses extensively studied laboratory field tests non darcian seepage flow seldom taken account engineering practice far paper investigates non darcian seepage flow deeply buried tunnel excavation situ water injection tests conducted investigate hydraulic characteristics rock mass formula derived quantify non linear hydraulic conductivity test data numerical method based non linear finite element method proposed simulate non darcian seepage flow tunnel comparing numerical results non darcian seepage flow results based traditional darcian assumption difference hydraulic head distribution slight difference flow velocity total discharge obvious darcian assumption provides rational discharge estimation actual flow velocity tunnel similar flow velocity situ tests non darcian assumption able obtain rational result especially number test pressure steps used situ tests limited,non darcy seepage tunnel rock mass water injection test numerical simulation,1366,224
prognostic relevance stromal cd expression rectal cancer chemoradiotherapy,background cd transmembrane glycoprotein role various types malignancies potential therapeutic diagnostic targets evaluated preoperative chemoradiotherapy crt effective tool local control rectal cancer rate disease recurrence remains high aim study clarify association cd expression rectal cancer preoperative crt methods total patients rectal cancer undergone preoperative crt enrolled study investigated cd expression residual tumors surrounding stromal tissue using immunohistochemistry additionally stromal cd gene expression assessed real time quantitative polymerase chain reaction results patients high cd expression cancer tissue frequently serosal invasion vascular invasion poor pathological response high expression cd tumor stroma significantly correlated histology tumor recurrence high cd expression stroma tumor significantly correlated poor prognosis patients expressing cd tumor stroma based transcriptional analysis significantly poorer prognosis expression multivariate analysis lymph node metastasis high stromal cd expression identified independent prognostic factors patients rectal cancer neoadjuvant crt conclusion stromal cd expression preoperative crt significantly associated tumor recurrence prognosis rectal cancer patients data suggest stromal cd plays important role potential therapeutic target tumor relapse,cd tumor stroma rectal cancer chemoradiotherapy prognosis,1336,220
use computational fluid dynamics cfd dispersion parameters development new dpi actuated low air volumes,purpose determine predictive power computational fluid dynamics cfd based dispersion parameters development new inline dpi actuated low volumes air methods new versions dose aerosolization containment dac unit dpi created varying inlet outlet orifice sizes analyzed results previous designs concurrent vitro cfd analysis conducted predict emitted dose ed loaded dose aerosol mass median aerodynamic diameter mmad produced device actuated ml air bursts cfd simulations device operation used predict flow field particle based dispersion parameters results comparisons experimental cfd results indicated multiple flow field particle based dispersion parameters used predict ed minimum rms error mmad minimum rms error high degree accuracy based experiments best overall device produced mean standard deviation sd ed mean mmad sd close agreement cfd predictions conclusions unique relationship identified dac unit dpi reducing turbulence reduced mmad,active dpi aerosol delivery children aerosolization low air volumes cfd simulation powder breakup inline dpi powder dispersion,2008,343
riesz potentials hardy hausdorff spaces,study investigates restriction problem riesz potentials hardy hausdorff spaces hh type spaces exploiting geometric measure theory generated indicatorlike functions compact sets proved riesz operator continuously maps hh weak morrey spaces induced radon measure obeys geometric condition,restriction theorem riesz potential hardy hausdorff space type space,103,14
higher dietary arachidonic acid levels improved growth performance gonad development nutritional value antioxidant enzyme activities adult sea urchin,gonads sea urchins strongylocentrotus intermedius characterized high levels arachidonic acid ara eicosapentaenoic acid epa knowledge little information available regarding physiological response adult sea urchins dietary ara present study dietary feeds formulated graded ara dry diet diet randomly allocated cages day feeding experiment results sea urchin weight gain rate wgr gonadosomatic index gi significantly increased ara equal dry diet activities superoxide dismutase sod catalase cat total anti oxidative capacity aoc highest coelomic fluid sea urchins fed diets ara total essential amino acid teaa ratio total non essential amino acid tneaa similar tendency wgr gi dietary ara increased highest teaa teaa tneaa observed gonads sea urchins fed diets ara levels ara ara epa gonads increased polyunsaturated fatty acid pufa decreased increase dietary ara epa gonads experimental animals fed formulated feeds significant differences significantly lower fed kelp results suggested relatively higher levels ara dry diet significantly promoted growth gonad development activities antioxidant enzymes nutritional values teaa teaa tneaa pufa adult intermedius,arachidonic acid sea urchin weight gain rate fatty acid amino acid gonad development antioxidant enzyme,558,107
quantum noise coherent transport protocol clock synchronization,paper presents synchronization accuracies coherent transport protocol presence quantum noise influence bit flip noise accuracy reduce standard quantum limit influenced phase flip amplitude damping accuracies lower standard quantum limit cases comparison performance onequbit transport protocol entangled states transport protocol accuracy coherent transport protocol lower accuracies protocols presence phase flip amplitude damping,clock synchronization quantum noise synchronization accuracy,816,146
effect boundary conditions thermal plume growth,investigated influence boundary conditions growth rate convective plumes temperature rate fields studied rectangular convective cell heated spot heater results scale test compared numerical data calculated using ansys cfx software package relationship heat plume growth rate heat boundary conditions width height cell size heater different kinds liquid established,rayleigh number lithium fluoride thermal plume wide boundary ascent rate,1673,271
nurbs curve interpolator small feedrate fluctuation based arc length prediction correction,non uniform rational spline nurbs curve widely used manufacturing systems good interpolator help improve contour accuracy smooth dynamics performance hard balance interpolation performance computational load derivative curvature nurbs curves used manufacturing systems high order continuous possible predict desired interpolation arc length based relationship historical feed chord length corresponding arc length interpolation cycle paper proposes novel interpolation method consists stages firstly nurbs curve split high order continuous segments based degrees control points secondly prediction model based newton divided differences interpolation equation derived relationship interpolated chord length corresponding arc length target arc length interpolation cycle predicted finally target parameter interpolation cycle calculated taylor expansion values corrected iteration position target interpolation point achieved performance proposed algorithm tested compared methods simulation results proposed method achieve smaller velocity fluctuation low computational load,nurbs interpolation feedrate fluctuation arc length prediction taylor expansion,432,77
situ genotoxicity assessment freshwater zooplankton sediments different dams ponds temporary rivers tunisia,tunisia water resources limited country currently large dams hill lakes small dams essential economic social development given contribution irrigation drinking water consumption flooding protection production electrical energy groundwater recharge industrial uses given scarcity resources crucial able ensure quality freshwater environments particularly intended human consumption study meant assess health status various freshwater ecosystems different regions tunisia north center west order detect genotoxic components sediments potential effect zooplankton cladocerans sediment cladoceran species collected dams ponds temporary rivers tunisia collection site micronucleus mn assay performed triplicates using pool specimens cladoceran species mn occurrence cladocerans varied site mn frequencies varied suggesting presence genotoxic substances certain sites sediment genotoxicity mutagenicity assessed using sos chromotest ames test sediment results genotoxicity varies site displaying quantitative qualitative variation pollutant sites results suggest urgent need continuous monitoring freshwater environments tunisia particularly intended drinking water,micronucleus assay cladocerans freshwater zooplankton genotoxicity mutagenicity assessment ames test sos chromotest,107,16
separation heavy metal protein wastewater sulfonated polyphenylsulfone ultrafiltration membrane process prepared glycine betaine enriched coagulation bath,work deals simple eco friendly approach development ultrafiltration membranes separation environmentally hazardous substances water source polysulfone sulfonated polyphenylsulfone blend ultrafiltration membranes fabricated non solvent induced phase inversion technique prepared membranes characterized morphology hydrophilicity porosity filtration antifouling properties blend membranes wt sppsu demonstrated best performance water flux lm flux recovery ratio effect aq glycine betaine gb coagulation bath membrane property performance studied compared commonly used additives nacl nmp gb coagulation bath exhibited better flux performance protein rejection trypsin pepsin bovine serum albumin respectively heavy metal rejection polymer enhanced ultrafiltration cd pb ions respectively,sulfonated polyphenylsulfone glycine betaine coagulation bath protein rejection heavy metal rejection,1562,252
